id,Happiness,SalaryPerMonthEmpMix,FeeFree,SalaryPerHour,SalaryPerMonth,JobPosition,Experience,HoursPerWeekEmp,HoursSpentFree,HoursPerDayMix,DaysPerMonthMix,Genre,VideoAudioTextFree,AnalogDigitalFree,MinPerAudioFree,MinPerVideoFree,CharPerArticleFree,Comment,Medium_id,Date,Suspiciousentry,Gegendarstellung
999,9,1630,0,10.1875,1630,Volontär,0,40,0,0,0,None,keineAngabe,keineAngabe,0,0,0,"Sehr gutes Volo mit fairer Bezahlung. 13,5 Gehälter plus verschiedene Zulagen. ",592,2018-10-06 15:18:12.738647+00,Ok,
1000,8,0,1100,84.6153846153846,13538.4615384615,"",5,0,13,0,0,Reportage,text,,0,0,9800,"Ich wurde für die Recherche bezahlt (360 Euro pro Tag) und die Druckseiten (230 Euro pro Druckseite), Bilder habe ich selbst gemacht",593,2018-10-06 15:44:31.249995+00,Ok,
1001,7,0,500,45.4545454545455,7272.72727272727,"",5,0,11,0,0,Umfrage,text,Analog & Digital,0,0,5800,"Stets fairer Umgang, wenn mal etwas nicht stimmen sollte, spricht Redaktion es offen an und bittet um Korrektur",594,2018-10-06 15:47:33.042454+00,Ok,
1002,5,0,1500,62.5,10000,"",5,0,24,0,0,Umfrage,text,Analog & Digital,0,0,16600,Hoher Aufwand für Korrekturschleifen und Bilderbestellung,595,2018-10-06 15:50:53.668373+00,Ok,
1004,7,0,1300,55.3191489361702,8851.06382978723,"",5,0,23.5,0,0,Reportage + Interview,text,Analog & Digital,0,0,11400,"Ansprüche an Text und Bild (Extrafotograf) sind hoch, aber die zeitaufwendigen Korrekturläufe laufen sehr fair ab. ",597,2018-10-06 15:56:14.393492+00,Ok,
1005,9,5562,0,36.5921052631579,5854.73684210526,Referent,5,38,0,0,0,None,keineAngabe,keineAngabe,0,0,0,"",293,2018-10-06 16:54:34.876139+00,Ok,
1006,6,6307,0,31.535,5045.6,Redakteur,5,50,0,0,0,None,keineAngabe,keineAngabe,0,0,0,"",302,2018-10-06 16:55:11.477185+00,Ok,
1007,7,3000,0,15.9574468085106,2553.1914893617,Redakteur,5,47,0,0,0,None,keineAngabe,keineAngabe,0,0,0,"",598,2018-10-06 16:57:10.861671+00,Ok,
1008,3,0,500,10.752688172043,1720.43010752688,"",3,0,46.5,0,0,Dokumentation,video,Analog & Digital,0,10.5,0,"",599,2018-10-06 16:57:57.111922+00,Ok,
1009,3,4900,0,31.4102564102564,5025.64102564103,Producer,5,39,0,0,0,None,keineAngabe,keineAngabe,0,0,0,"",278,2018-10-06 16:58:14.555074+00,Ok,
1010,3,2100,0,15,2400,Redakteurin,0,35,0,0,0,None,keineAngabe,keineAngabe,0,0,0,"Redakteure sind dazu da, die Lücken zwischen den Anzeigen zu füllen, und das merkt man auch. Wertschätzung gleich Null, mies bezahlt.",600,2018-10-06 16:59:59.133932+00,Ok,
1011,7,0,500,41.6666666666667,6666.66666666667,"",0,0,12,0,0,Interview,text,Analog,0,0,8000,"",601,2018-10-06 17:00:43.001932+00,Ok,
1012,7,6000,0,30,4800,Reporter,5,0,0,10,20,None,keineAngabe,keineAngabe,0,0,0,"",276,2018-10-06 17:02:24.379434+00,Ok,
1013,9,0,80,22.8571428571429,3657.14285714286,"",3,0,3.5,0,0,Porträt,text,Analog,0,0,3800,"",602,2018-10-06 17:11:26.143274+00,Ok,
1014,7,0,500,41.6666666666667,6666.66666666667,"",0,0,12,0,0,Interview,text,Analog & Digital,0,0,4000,"",310,2018-10-06 18:55:24.298132+00,Ok,
1015,6,3400,0,28.3333333333333,4533.33333333333,Redakteur,3,30,0,0,0,None,keineAngabe,keineAngabe,0,0,0,"",603,2018-10-06 19:05:18.589248+00,Ok,
1016,9,0,150,50,8000,"",5,0,3,0,0,Bericht,text,Digital,0,0,4000,"",80,2018-10-06 19:05:26.711394+00,Ok,
1017,4,0,100,25,4000,"",5,0,4,0,0,Bericht,text,Analog & Digital,0,0,4000,"",604,2018-10-06 19:08:31.401162+00,Ok,
1018,9,0,100,100,16000,"",5,0,1,0,0,Interview,audio,Analog & Digital,5,0,0,"",425,2018-10-06 19:11:45.902136+00,Ok,
1019,9,0,130,26,4160,"",5,0,5,0,0,Bericht,text,Analog & Digital,0,0,3800,"",605,2018-10-06 19:14:07.261582+00,Ok,
1021,8,0,200,50,8000,"",5,0,4,0,0,Bericht,text,Digital,0,0,4000,"",296,2018-10-06 19:47:44.687048+00,Ok,
1022,4,3960,0,26.7567567567568,4281.08108108108,"",5,37,0,0,0,None,keineAngabe,keineAngabe,0,0,0,"",486,2018-10-06 21:50:09.657199+00,Ok,
1003,8,0,300,50,8000,"",,0,6,0,0,Glosse,text,Analog & Digital,0,0,4500,"nie Korrekturwünsche, Text wird so genommen",596,2018-10-06 15:53:04+00,Ok,""
1020,7,0,259,21.5833333333333,3453.33333333333,"",,0,12,0,0,Blog,text,Analog & Digital,0,0,3400,"",606,2018-10-06 19:38:11+00,Ok,""
1024,4,0,40,10,1600,"",0,0,4,0,0,Lokal,audio,Analog & Digital,1.5,0,0,"",607,2018-10-07 07:18:12.612359+00,Ok,
1025,7,5800,0,29,4640,"Cooywriter, Übersetzer, Social Media Manager",5,50,0,0,0,None,keineAngabe,keineAngabe,0,0,0,"",510,2018-10-07 07:44:25.74708+00,Ok,
1026,6,2800,0,17.5,2800,Redakteur,0,40,0,0,0,None,keineAngabe,keineAngabe,0,0,0,"",608,2018-10-07 08:51:57.868198+00,Ok,
1027,2,3300,0,20.625,3300,Redakteur,0,40,0,0,0,None,keineAngabe,keineAngabe,0,0,0,"Kein Mitspracherecht, keine Möglichkeit zur Mitgestaltung.
Ungleiche Behandlung und Bezahlung männlicher und weiblicher Mitarbeiter.
Keine Transparenz bei Entscheidungsprozessen
.Keine/minimale Zuschläge für Nacht - oder Samstagsarbeit",609,2018-10-07 09:44:52.430628+00,Ok,
1028,5,3250,0,18.8953488372093,3023.25581395349,Redakteur,3,43,0,0,0,None,keineAngabe,keineAngabe,0,0,0,"Alles auf Visits ausgelegt. Guter Journalismus ist zweitrangig, Hauptsache der Artikel klickt. Clickbaiting ist allerdings noch nicht zu krass überspannt.",610,2018-10-07 10:11:05.569498+00,Ok,
