id,mediumname,freeoremployed,UpDate,fairness,Suspiciousmedium
64,Der Journalist,frei,2018-09-16 10:34:47.174144+00,,Ok
114,Dogs,frei,2018-09-21 13:16:39.371128+00,,Ok
62,Gründerszene Online,fest,2018-10-05 18:02:13.593203+00,,Ok
171,Barbara,frei,2018-10-04 11:39:40.521477+00,"",Ok
72,Geo,frei,2018-10-02 11:45:13.561369+00,,Ok
155,Fluter,frei,2018-10-04 19:19:26.503512+00,"",Ok
153,Ruhr Nachrichten,pauschal,2018-10-04 15:22:09.879339+00,"",Ok
86,Die Rheinpfalz,frei,2018-10-04 15:53:21.756238+00,"",Ok
167,Brigitte,frei,2018-10-04 20:56:30.606322+00,"",Ok
151,Mare,frei,2018-10-06 07:14:24.139252+00,"",Ok
97,Reportagen Magazin,frei,2018-09-19 09:05:07.142471+00,,Ok
91,BioHandel,frei,2018-09-19 08:51:46.448813+00,,Ok
122,Spex,frei,2018-10-06 08:54:49.137598+00,,Ok
124,Nordis Skandinavienmagazin,frei,2018-09-30 05:39:36.624748+00,,Ok
125,Nordis Skandinavienmagazin,frei,2018-09-30 06:03:24.295051+00,,Ok
138,Neues Deutschland,frei,2018-10-04 09:21:15.258268+00,,Ok
129,Vivanty,frei,2018-09-30 22:45:43.37161+00,,Ok
170,Die ZEIT,frei,2018-10-01 13:01:39.965214+00,,Ok
104,Deutsche Universitätszeitung,frei,2018-10-05 20:59:58.007664+00,"",Ok
80,Zeit Online,frei,2018-10-06 19:05:26.689378+00,,Ok
255,Slow,frei,2018-10-03 19:13:44.828962+00,"",Ok
173,mare,frei,2018-10-01 13:03:10.895356+00,"",Ok
174,ELTERN Magazin,frei,2018-10-01 13:04:03.273475+00,"",Ok
175,Monopol,frei,2018-10-01 13:04:50.188542+00,"",Ok
176,enorm,frei,2018-10-01 13:08:25.018967+00,"",Ok
116,Natur,frei,2018-10-01 13:09:43.410727+00,"",Ok
256,Donna,frei,2018-10-03 19:18:55.660273+00,"",Ok
177,Drägerheft,frei,2018-10-01 13:23:22.922681+00,"",Ok
178,Tagesspiegel am Sonntag,frei,2018-10-01 13:23:51.68271+00,"",Ok
179,Deutsche Welle,fest,2018-10-01 13:28:15.026207+00,"",Ok
181,Motorist Magazin,frei,2018-10-01 13:39:14.501713+00,"",Ok
182,K&L-Magazin,frei,2018-10-01 13:41:30.69865+00,"",Ok
183,SWR2 Wissen,frei,2018-10-01 13:43:41.13178+00,"",Ok
186,Perspective Daily,frei,2018-10-01 13:48:24.027027+00,"",Ok
187,radio,frei,2018-10-01 13:53:21.912605+00,"",Ok
190,hr2 Kultur,frei,2018-10-01 13:59:00.302332+00,"",Ok
257,Das Magazin,frei,2018-10-03 20:00:24.365139+00,"",Ok
231,Tagesschau Online,pauschal,2018-10-01 20:35:04.322077+00,"",Ok
191,evangelisch.de,frei,2018-10-01 14:01:23.60233+00,"",Ok
193,Zeitzeichen,frei,2018-10-01 14:06:47.760655+00,"",Ok
195,chrismon,frei,2018-10-01 14:10:36.599611+00,"",Ok
196,Weltsichten,frei,2018-10-01 14:12:57.913794+00,"",Ok
258,Szene Hamburg,frei,2018-10-03 20:03:24.341801+00,"",Ok
184,Psychologie Heute,frei,2018-10-04 16:47:40.402034+00,"",Ok
197,Gehirn und Geist,frei,2018-10-01 14:23:36.798209+00,"",Ok
198,AFP,pauschal,2018-10-01 14:25:28.404948+00,"",Ok
201,Senioren Ratgeber,frei,2018-10-01 14:27:31.540532+00,"",Ok
233,Märkische Allgemeine,pauschal,2018-10-01 20:43:51.197507+00,"",Ok
259,NZZ Bellevue,pauschal,2018-10-03 20:08:58.774799+00,"",Ok
206,Turi2 Edition,pauschal,2018-10-01 14:42:54.08926+00,"",Ok
207,Deutsche Welle Online,frei,2018-10-01 14:47:56.624+00,"",Ok
209,Manstein AT,frei,2018-10-01 15:03:23.205067+00,"",Ok
210,Forum Magazin,frei,2018-10-01 15:22:32.688744+00,"",Ok
211,Deutsche Verkehrszeitung,frei,2018-10-01 15:25:53.589716+00,"",Ok
214,taz. die tageszeitung ,frei,2018-10-01 16:42:59.541849+00,"",Ok
215,taz.die tageszeitung,frei,2018-10-01 16:44:06.641532+00,"",Ok
260,TOUR Magazin,frei,2018-10-03 21:15:30.731461+00,"",Ok
274,Mitteldeutscher Rundfunk,frei,2018-10-04 07:20:16.271946+00,"",Ok
230,Der Tagesspiegel,frei,2018-10-01 20:15:24.246342+00,,Ok
212,Die Tageszeitung,pauschal,2018-10-05 20:46:43.333295+00,"",Ok
219,rbb (Radio),frei,2018-10-01 17:41:27.995912+00,"",Ok
221,Fachmagazin (Agrar),fest,2018-10-01 17:48:05.6987+00,"",Ok
222,artline.de,frei,2018-10-01 18:26:34.03764+00,"",Ok
264,Missy Magazine,frei,2018-10-05 19:00:48.263122+00,"",Ok
202,Berliner Zeitung,frei,2018-10-04 16:14:33.055517+00,"",Ok
236,A&W Architektur & Wohnen ,frei,2018-10-02 06:36:51.742282+00,"",Ok
237,GEOlino extra,frei,2018-10-02 06:38:26.831434+00,"",Ok
152,Die Welt am Sonntag,frei,2018-10-02 06:39:23.040519+00,"",Ok
239,Frankfurter Allgemeine Sonntagszeitung ,frei,2018-10-02 06:47:07.198898+00,"",Ok
224,Jetzt Online,frei,2018-10-05 19:22:46.557676+00,,Ok
232,T-Online,fest,2018-10-03 22:11:23.11041+00,"",Ok
268,Bremen Fünf / NDR Info,pauschal,2018-10-04 05:43:27.27944+00,"",Ok
185,DPA Landesdienst Berlin-Brandenburg,pauschal,2018-10-01 13:47:20.013744+00,,Ok
225,Stern Online,fest,2018-10-01 19:42:17.675444+00,"",Ok
245,Walden,frei,2018-10-02 11:50:20.958691+00,"",Ok
246,reisereporter,frei,2018-10-02 11:51:57.659314+00,"",Ok
277,Westfälischer Anzeiger,frei,2018-10-04 16:16:17.333311+00,"",Ok
227,Tagesschau Online,frei,2018-10-01 20:11:06.266501+00,"",Ok
228,Taz ,frei,2018-10-01 20:12:23.444489+00,"",Ok
248,MACHER,frei,2018-10-02 11:55:33.07577+00,"",Ok
249,Münchner Merkur,frei,2018-10-03 11:56:25.419308+00,"",Ok
250,Das Magazin (Berlin),frei,2018-10-03 14:14:20.137065+00,"",Ok
218,welt-sichten,frei,2018-10-03 14:24:26.709783+00,"",Ok
261,Westfälische Nachrichten,frei,2018-10-03 22:32:44.52425+00,"",Ok
67,Spiegel Online,frei,2018-10-06 08:48:16.79683+00,,Ok
251,Funke Mediengruppe,frei,2018-10-03 15:40:54.025001+00,"",Ok
252,Baumeister,frei,2018-10-03 17:59:11.305167+00,"",Ok
253,Emotion,frei,2018-10-03 19:10:30.449682+00,"",Ok
270,Rheinische Post,fest,2018-10-05 04:16:27.950607+00,"",Ok
188,DPA,frei,2018-10-05 11:41:26.555746+00,,Ok
263,ShapeUP,frei,2018-10-04 05:17:02.783078+00,"",Ok
265,Politik & Kultur,frei,2018-10-04 05:30:29.154089+00,"",Ok
266,Handwerk Magazin,frei,2018-10-04 05:31:52.226381+00,"",Ok
267,an.schläge - das feministische magazin,frei,2018-10-04 05:32:52.561304+00,"",Ok
275,journalist,frei,2018-10-04 07:22:57.084355+00,"",Ok
271,Selber machen,frei,2018-10-04 06:13:51.450339+00,"",Ok
272,Bilanz,frei,2018-10-04 06:25:08.080415+00,"",Ok
128,Süddeutsche Zeitung,frei,2018-10-05 20:48:47.875921+00,"",Ok
217,Jungle World,frei,2018-10-04 10:36:29.683985+00,"",Ok
216,ZDF,pauschal,2018-10-04 18:52:24.172592+00,"",Ok
235,WDR 3,frei,2018-10-04 07:00:02.113596+00,"",Ok
273,Frankfurter Allgemeine Zeitung,fest,2018-10-04 16:05:48.724352+00,"",Ok
279,taz die tageszeitung,fest,2018-10-04 07:43:37.703974+00,"",Ok
280,Süddeutsche Zeitung Digitale Medien,fest,2018-10-04 07:44:12.488292+00,"",Ok
282,Norddeutscher Rundfunk,fest,2018-10-04 07:49:45.68785+00,"",Ok
194,NZZ,frei,2018-10-05 21:55:11.402321+00,"",Ok
223,Frankfurter Rundschau,fest,2018-10-04 08:53:57.596735+00,"",Ok
208,Merian,frei,2018-10-04 13:47:36.735345+00,"",Ok
283,Wirtschaftswoche,frei,2018-10-04 09:02:34.249195+00,"",Ok
189,Saarbrücker Zeitung,frei,2018-10-04 12:32:52.62882+00,"",Ok
180,Spektrum der Wissenschaft,frei,2018-10-01 13:37:36.4604+00,,Ok
269,Norddeutscher Rundfunk,frei,2018-10-05 18:32:44.259313+00,"",Ok
281,Welt am Sonntag,frei,2018-10-04 19:28:48.420658+00,"",Ok
238,Sächsische Zeitung,frei,2018-10-05 23:33:42.06954+00,"",Ok
254,Essen & Trinken,frei,2018-10-04 23:30:34.850879+00,"",Ok
204,Vice Online,frei,2018-10-05 06:24:45.311523+00,"",Ok
240,Deutsche Presseagentur,pauschal,2018-10-05 17:04:32.942155+00,"",Ok
65,Der Tagesspiegel,frei,2018-10-04 19:17:38.86306+00,,Ok
247,Stern - Gesund leben,frei,2018-10-02 11:53:05.928653+00,,Ok
244,National Geographic Deutschland,frei,2018-10-02 11:46:07.22116+00,,Ok
192,Publik Forum,frei,2018-10-01 14:04:37.491211+00,,Ok
276,Westdeutscher Rundfunk,pauschal,2018-10-06 17:02:24.36013+00,,Ok
229,Berliner Morgenpost,frei,2018-10-06 18:46:37.294073+00,"",Ok
213,Die Zeit,fest,2018-10-06 11:34:06.776994+00,"",Ok
278,Mitteldeutsche Zeitung,fest,2018-10-06 16:58:14.533549+00,"",Ok
348,Nordis,frei,2018-10-04 10:09:03.510279+00,,Ok
285,Jüdische Allgemeine,frei,2018-10-04 07:54:04.949508+00,"",Ok
286,Die Welt Online,frei,2018-10-04 07:59:10.168416+00,"",Ok
234,Deutschlandfunk Kultur,frei,2018-10-05 19:56:11.047507+00,"",Ok
287,Fachmedium,fest,2018-10-04 08:00:10.939285+00,"",Ok
288,PAGE,fest,2018-10-04 08:03:56.935077+00,"",Ok
289,Haller Tagblatt,frei,2018-10-04 08:16:13.319285+00,"",Ok
290,Theater heute,frei,2018-10-04 08:18:48.94783+00,"",Ok
292,Der Landbote (Winterthur),frei,2018-10-04 08:22:42.037293+00,"",Ok
295,Impulse,fest,2018-10-04 08:25:50.428576+00,"",Ok
298,vigo (wdv-verlag),frei,2018-10-04 08:31:00.918731+00,"",Ok
299,Stern gesund leben,frei,2018-10-04 08:31:03.752285+00,"",Ok
300,evanglisch.de,frei,2018-10-04 08:33:50.856527+00,"",Ok
301,Der Feinschmecker,frei,2018-10-04 08:36:46.579284+00,"",Ok
303,Allg. Hotel und Gastronomie Zeitung,frei,2018-10-04 08:40:39.373517+00,"",Ok
306,Slow Food MAgazin,frei,2018-10-04 08:43:41.502229+00,"",Ok
375,web.de,frei,2018-10-04 12:16:26.240114+00,"",Ok
305,Die Zeit,pauschal,2018-10-04 08:43:44.324657+00,"",Ok
307,Deutschlandfunk Nova,pauschal,2018-10-04 08:47:47.880918+00,"",Ok
308,Ärztenachrichtendienst,fest,2018-10-04 08:48:21.020191+00,"",Ok
311,Allgemeiner Anzeiger,frei,2018-10-04 08:56:51.279108+00,"",Ok
312,Verivox,fest,2018-10-04 08:57:07.334205+00,"",Ok
314,General-Anzeiger Bonn,frei,2018-10-04 09:03:04.107398+00,"",Ok
